timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-12-01T06:19:00,13.8,1.1,6.903,13.0,1.3,9.958,,,,-1.0,0.0,2.435
2021-12-02T06:35:00,13.8,1.0,8.693,13.4,1.0,10.387,,,,12.8,0.7,2.728
2021-12-03T06:40:30,13.2,1.2,10.197,13.4,1.4,10.594,,,,12.4,0.5,3.727
2021-12-04T06:08:30,14.0,1.1,6.344,14.0,1.4,15.342,,,,14.2,1.3,3.725
2021-12-05T07:25:30,14.6,1.0,7.43,15.2,0.7,3.273,14.6,1.0,7.43,13.8,0.6,3.305
2021-12-06T06:02:30,13.6,1.4,11.368,14.4,1.0,2.988,13.6,1.4,11.368,11.4,1.0,2.751
2021-12-07T06:22:00,13.4,1.2,14.709,13.4,1.2,14.709,13.2,1.0,10.376,12.8,0.6,2.674
2021-12-08T06:13:00,13.4,1.3,9.977,-1.0,0.0,2.419,13.4,1.3,9.977,12.4,0.6,2.604
2021-12-09T05:45:30,13.8,1.1,5.572,13.8,1.1,5.572,13.4,1.5,8.993,13.6,1.1,3.631
2021-12-10T06:44:00,14.8,1.0,4.689,14.8,1.0,4.689,14.2,1.1,4.435,-1.0,0.0,1.805
2021-12-11T07:54:30,13.4,1.1,15.871,14.4,1.3,3.614,13.4,1.1,15.871,-1.0,0.0,2.386
2021-12-12T06:36:30,13.8,1.3,4.99,13.8,1.3,4.99,13.8,1.4,10.697,12.4,0.6,4.232
2021-12-13T06:04:30,13.4,0.8,7.382,13.4,0.8,7.382,13.2,1.4,10.366,13.6,0.6,2.592
2021-12-14T06:32:00,14.4,0.8,6.324,14.4,0.8,6.324,13.6,1.4,10.844,13.2,2.3,4.021
2021-12-15T06:14:30,13.6,1.1,8.357,13.6,1.1,8.357,13.4,1.0,9.19,15.2,1.9,3.755
2021-12-16T06:59:30,13.4,1.2,8.255,13.4,1.2,8.255,13.2,1.3,8.825,16.4,0.8,2.753
2021-12-17T06:42:00,13.6,1.2,10.596,-1.0,0.0,0.0,13.6,1.2,10.596,14.4,0.8,3.454
2021-12-18T06:22:30,14.2,1.2,6.715,14.2,1.2,6.715,13.6,1.3,7.048,16.0,1.0,2.539
2021-12-20T06:29:30,13.2,1.1,4.919,13.2,1.1,4.919,13.0,1.3,12.996,-1.0,0.0,1.53
2021-12-21T06:20:30,13.2,1.9,9.298,13.2,1.9,9.298,13.0,1.1,10.458,-1.0,0.0,2.273
2021-12-22T06:20:30,13.6,1.1,7.714,13.6,1.1,7.714,13.0,1.1,13.151,-1.0,0.0,1.697
2021-12-23T06:35:30,13.6,1.0,5.489,13.6,1.0,5.489,13.6,1.4,7.504,14.4,1.4,2.799
2021-12-24T07:07:30,12.6,1.6,7.168,13.8,0.5,2.665,12.6,1.6,7.168,17.0,0.7,2.952
2021-12-25T08:08:00,13.8,0.9,7.016,13.8,0.9,7.016,14.2,1.4,4.843,-1.0,0.0,2.358
2021-12-28T07:48:30,13.8,1.0,4.452,13.8,1.0,4.452,13.4,1.0,9.542,16.2,1.6,2.934
2021-12-29T04:04:30,14.2,1.3,5.587,15.6,1.0,2.874,14.2,1.3,5.587,-1.0,0.0,1.676
2021-12-29T08:42:30,13.6,1.2,7.109,-1.0,0.0,2.272,13.6,1.2,7.109,13.8,0.5,2.745
2021-12-30T07:57:30,13.4,1.0,6.908,13.4,1.0,6.908,13.2,0.9,10.923,13.0,0.7,2.749
2021-12-31T06:52:30,13.6,1.3,5.271,13.6,1.3,5.271,13.0,1.1,5.521,12.6,1.3,3.702
