timestamp,rmssd,coverage,low_frequency,high_frequency
2021-08-05T00:00:00,103.639,0.987,5527.512,1722.569
2021-08-05T00:05:00,39.946,1.005,2146.29,214.451
2021-08-05T00:10:00,35.635,0.916,4321.192,150.433
2021-08-05T00:15:00,95.232,0.947,2124.723,2321.662
2021-08-05T00:25:00,128.942,0.841,4722.049,3491.357
2021-08-05T00:30:00,111.081,0.985,1597.034,2160.178
2021-08-05T00:35:00,116.213,1.005,1440.098,2709.963
2021-08-05T00:40:00,113.892,1.003,1569.702,2566.571
2021-08-05T00:45:00,125.344,0.992,2187.433,2988.878
2021-08-05T00:50:00,103.408,1.006,1092.791,2145.675
2021-08-05T00:55:00,135.394,0.977,9152.574,2929.199
2021-08-05T01:00:00,133.283,0.996,1715.535,3792.568
2021-08-05T01:05:00,156.632,1.007,2253.745,5931.606
2021-08-05T01:10:00,127.198,1.002,1400.893,2867.654
2021-08-05T01:15:00,139.234,0.976,5647.42,4121.0
2021-08-05T01:20:00,122.153,1.003,1364.356,2944.568
2021-08-05T01:25:00,112.921,0.952,1212.944,2722.199
2021-08-05T01:30:00,141.861,0.915,6824.855,2193.427
2021-08-05T01:35:00,157.732,0.997,919.887,5228.481
2021-08-05T01:40:00,172.816,1.001,3252.955,7210.229
2021-08-05T01:45:00,176.821,0.976,6530.225,6456.798
2021-08-05T01:50:00,75.349,1.003,3203.911,949.772
2021-08-05T01:55:00,44.552,0.967,4509.301,300.017
2021-08-05T02:00:00,57.276,0.931,2110.521,371.293
2021-08-05T02:05:00,101.983,0.98,2960.333,1592.519
2021-08-05T02:10:00,130.83,0.956,7578.603,3188.323
2021-08-05T02:15:00,120.9,0.904,10926.223,2384.823
2021-08-05T02:20:00,129.506,0.972,4661.573,3205.954
2021-08-05T02:25:00,141.205,1.007,5650.491,3991.765
2021-08-05T02:30:00,136.325,0.991,1524.84,3210.503
2021-08-05T02:35:00,135.356,0.962,1347.68,4004.778
2021-08-05T02:40:00,160.237,0.965,2658.842,4901.052
2021-08-05T02:45:00,145.115,0.973,1640.285,3765.752
2021-08-05T02:50:00,162.599,1.007,1358.717,4824.072
2021-08-05T02:55:00,163.441,0.91,9749.894,4489.843
2021-08-05T03:00:00,128.532,0.974,2761.93,2806.564
2021-08-05T03:05:00,134.425,0.997,2741.129,3197.432
2021-08-05T03:10:00,128.274,0.938,9904.265,2309.546
2021-08-05T03:15:00,127.559,0.899,5555.223,2294.331
2021-08-05T03:20:00,111.059,1.005,4484.444,2700.026
2021-08-05T03:25:00,43.258,0.893,2453.703,447.275
2021-08-05T03:30:00,59.138,0.935,2102.837,610.66
2021-08-05T03:35:00,43.464,0.915,2249.272,430.676
2021-08-05T03:40:00,70.36,1.003,1159.408,953.138
2021-08-05T03:45:00,114.638,0.909,7986.984,2703.52
2021-08-05T03:50:00,112.365,0.911,3487.667,1988.638
2021-08-05T03:55:00,130.762,0.917,4081.367,2146.558
2021-08-05T04:00:00,118.552,0.982,4618.165,2804.707
2021-08-05T04:05:00,118.831,1.005,2095.43,2585.987
2021-08-05T04:10:00,125.892,0.99,6419.068,3182.759
2021-08-05T04:15:00,155.432,0.978,2886.737,4912.433
2021-08-05T04:20:00,124.313,1.007,3173.185,3236.926
2021-08-05T04:25:00,143.202,1.001,6402.804,3631.208
2021-08-05T04:30:00,107.384,0.984,3464.658,1971.353
2021-08-05T04:35:00,126.395,0.938,1708.449,2723.643
2021-08-05T04:40:00,132.791,0.937,6320.958,2367.667
2021-08-05T04:45:00,132.231,0.956,3619.709,3892.19
2021-08-05T04:50:00,94.788,0.975,3268.414,1893.618
2021-08-05T04:55:00,82.279,0.914,4380.01,801.251
2021-08-05T05:00:00,46.924,0.941,3182.493,286.954
2021-08-05T05:05:00,72.088,0.952,2662.808,802.623
2021-08-05T05:10:00,80.833,0.995,4081.769,1648.495
2021-08-05T05:15:00,83.067,0.89,3900.965,1583.207
2021-08-05T05:20:00,101.976,1.006,2685.579,1802.098
2021-08-05T05:25:00,80.4,0.997,3051.29,1595.938
2021-08-05T05:30:00,61.681,0.925,1273.207,528.442
2021-08-05T05:35:00,92.622,0.995,2309.67,1347.804
2021-08-05T05:40:00,108.849,0.887,4243.736,2511.026
2021-08-05T05:45:00,105.909,0.942,1801.176,1448.997
2021-08-05T05:50:00,121.957,0.78,8349.9,2976.394
2021-08-05T23:30:00,84.55,0.805,6566.039,1395.973
2021-08-05T23:35:00,65.757,0.976,1870.663,620.135
2021-08-05T23:40:00,64.164,1.003,1046.252,503.03
2021-08-05T23:45:00,83.921,1.006,1091.466,1406.915
2021-08-05T23:50:00,89.474,1.003,2684.203,1779.0
2021-08-05T23:55:00,89.147,0.966,1959.699,1794.377
