timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2020-11-01T07:45:00,14.8,1.6,2.895,14.8,1.6,2.895,,,,-1.0,0.0,1.989
2020-11-02T05:50:30,13.8,1.2,7.077,13.8,1.4,8.542,,,,17.2,1.0,2.724
2020-11-02T06:59:30,13.6,1.1,10.206,13.8,1.4,7.594,,,,17.2,0.9,3.539
2020-11-03T07:03:30,13.8,1.0,7.753,13.2,1.1,7.236,,,,12.2,1.5,3.354
2020-11-04T07:13:30,15.6,0.6,5.305,15.0,1.1,4.737,,,,-1.0,0.0,2.002
2020-11-05T06:45:30,13.4,1.1,5.248,13.4,1.1,5.248,,,,12.4,1.4,3.474
2020-11-06T05:49:30,14.4,1.5,4.971,13.4,1.4,5.006,,,,13.2,0.9,2.651
2020-11-07T06:51:00,15.2,1.0,4.321,14.2,1.1,4.769,,,,13.8,1.9,2.991
2020-11-08T07:26:00,15.2,0.8,4.451,14.0,1.5,4.984,,,,-1.0,0.0,2.433
2020-11-09T06:46:30,13.2,1.0,6.986,12.8,1.5,6.016,,,,14.2,0.6,2.783
2020-11-10T06:41:30,13.4,1.2,9.957,13.0,1.4,11.045,,,,14.4,1.1,2.822
2020-11-11T06:45:30,14.0,1.3,4.87,13.6,1.0,8.844,,,,13.0,0.8,2.724
2020-11-12T07:23:30,14.0,0.8,8.847,12.8,0.9,11.784,,,,13.2,0.5,3.01
2020-11-13T07:41:30,15.0,1.0,5.849,13.8,1.8,4.742,,,,12.6,1.0,2.885
2020-11-15T07:24:30,15.2,1.3,4.234,14.2,1.3,5.937,,,,14.6,2.3,2.564
2020-11-16T06:20:30,12.6,0.6,7.139,13.0,1.0,9.987,,,,14.2,4.0,3.183
2020-11-17T06:33:30,14.0,1.0,5.697,13.0,1.1,11.568,,,,13.0,2.2,3.851
2020-11-18T07:15:00,14.0,1.0,4.751,13.0,1.5,8.591,,,,14.2,1.3,3.867
2020-11-19T06:38:30,12.8,1.0,9.967,13.0,1.2,8.388,,,,14.0,0.7,3.291
2020-11-20T05:48:30,14.0,1.4,9.134,13.2,1.0,10.096,,,,12.8,1.4,3.802
2020-11-21T06:43:30,12.4,0.6,9.329,13.0,1.5,7.748,,,,13.4,1.2,3.906
2020-11-22T07:54:30,13.6,1.3,6.338,13.6,1.2,6.986,,,,12.6,1.6,5.001
2020-11-23T06:46:30,13.4,1.1,6.756,12.8,1.5,14.955,,,,12.8,1.6,3.146
2020-11-24T07:01:30,13.2,1.3,6.529,13.0,1.4,8.69,,,,13.0,3.6,3.042
2020-11-25T07:19:30,13.2,1.2,7.335,12.6,1.2,9.515,,,,10.6,0.7,2.762
2020-11-26T07:23:00,12.8,1.3,7.934,12.4,1.2,8.798,,,,14.8,1.3,4.102
2020-11-27T06:50:30,13.4,1.6,5.622,13.4,1.6,5.622,,,,12.2,0.6,3.083
2020-11-28T07:15:30,13.0,1.1,7.874,13.0,1.1,7.874,,,,16.2,0.9,2.754
2020-11-29T07:04:30,14.0,1.2,7.483,14.0,1.2,7.483,,,,-1.0,0.0,2.111
2020-11-30T07:03:30,13.0,1.0,10.859,13.0,1.0,10.859,,,,13.4,2.3,5.393
