timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-07-01T06:21:00,13.6,1.1,7.981,13.0,1.2,8.017,,,,12.4,1.7,2.938
2021-07-02T05:29:00,14.4,1.3,5.558,13.6,1.2,7.672,,,,-1.0,0.0,2.313
2021-07-03T06:49:00,13.2,1.7,8.298,13.2,1.7,8.298,,,,-1.0,0.0,2.439
2021-07-05T07:12:30,16.4,1.8,3.18,14.6,1.6,3.186,,,,16.2,0.5,3.935
2021-07-06T06:33:30,14.0,0.9,8.887,13.6,1.2,11.3,,,,12.8,1.8,3.095
2021-07-07T06:37:30,14.0,1.0,8.149,13.4,1.4,8.222,,,,15.0,0.6,3.469
2021-07-08T06:27:30,14.0,1.0,7.591,13.8,1.3,8.343,,,,12.8,1.3,2.734
2021-07-09T05:38:30,14.0,0.9,5.583,13.4,1.3,5.527,,,,-1.0,0.0,1.545
2021-07-10T06:12:30,14.4,1.5,6.783,13.8,1.3,9.893,,,,-1.0,0.0,2.185
2021-07-11T06:54:30,14.0,0.6,5.68,13.8,1.1,7.767,,,,13.6,0.5,3.04
2021-07-12T05:42:30,13.4,0.9,9.038,12.8,1.3,10.041,,,,11.4,0.6,3.036
2021-07-13T05:22:30,13.4,1.1,5.65,13.4,1.2,9.779,,,,13.4,2.0,3.995
2021-07-14T07:02:30,13.2,1.1,6.199,14.0,1.3,8.309,,,,-1.0,0.0,2.293
2021-07-15T06:00:30,14.4,0.9,9.488,13.6,1.1,11.779,,,,13.0,1.4,4.343
2021-07-16T06:21:00,14.4,0.8,9.055,13.8,1.3,13.615,,,,14.2,0.5,3.753
2021-07-17T06:54:30,15.6,1.3,6.601,15.0,1.2,4.75,,,,14.0,1.6,2.532
2021-07-18T06:26:30,16.4,1.6,3.993,14.6,1.3,3.898,,,,-1.0,0.0,1.775
2021-07-19T05:46:30,14.0,1.4,7.732,13.4,1.1,11.933,,,,14.0,3.6,3.914
2021-07-20T05:55:30,13.6,1.4,6.268,13.4,1.4,19.044,,,,13.8,2.6,3.338
2021-07-21T07:05:30,14.0,1.3,9.144,13.2,1.5,11.582,,,,18.2,0.6,2.637
2021-07-22T05:35:30,13.8,0.9,9.54,13.8,1.4,12.304,,,,12.0,0.4,2.817
2021-07-23T05:58:30,14.4,0.6,6.299,13.6,1.4,8.038,,,,13.6,1.2,4.063
2021-07-24T05:54:00,14.0,1.9,4.504,14.0,1.9,4.504,,,,-1.0,0.0,1.956
2021-07-25T06:06:00,14.8,0.8,8.326,14.8,1.2,6.042,,,,-1.0,0.0,2.04
2021-07-26T05:31:30,13.6,0.5,8.732,13.4,1.8,9.462,,,,11.6,3.7,2.57
2021-07-27T06:01:30,14.0,1.0,11.123,13.4,1.0,8.423,,,,-1.0,0.0,1.496
2021-07-28T06:17:30,13.8,0.8,11.676,13.4,1.6,6.134,,,,-1.0,0.0,2.23
2021-07-29T06:01:00,14.8,1.2,5.968,13.6,0.9,5.153,,,,26.8,0.5,2.953
2021-07-30T06:05:30,13.8,0.8,4.3,13.2,1.7,9.295,,,,14.0,1.2,3.028
2021-07-31T04:53:00,14.0,1.4,6.429,14.0,1.4,6.429,,,,-1.0,0.0,2.186
