timestamp,rmssd,coverage,low_frequency,high_frequency
2020-10-29T00:00:00,106.228,0.946,630.953,3816.353
2020-10-29T00:05:00,79.11,0.993,4254.283,1164.353
2020-10-29T00:10:00,81.05,1.002,1447.129,1872.627
2020-10-29T00:15:00,83.967,0.813,3063.969,755.152
2020-10-29T00:20:00,87.906,0.992,1740.328,1643.725
2020-10-29T00:25:00,93.513,0.95,700.839,2365.158
2020-10-29T00:30:00,69.749,1.005,1361.581,1157.367
2020-10-29T00:35:00,27.73,0.99,1605.899,146.35
2020-10-29T00:40:00,38.094,0.945,2909.178,600.216
2020-10-29T00:45:00,62.942,0.988,2878.786,933.685
2020-10-29T00:50:00,79.702,0.94,2349.184,1239.394
2020-10-29T00:55:00,86.759,1.003,1549.126,2393.398
2020-10-29T01:00:00,81.506,0.965,1391.046,1443.858
2020-10-29T01:05:00,93.695,0.991,2253.92,2010.538
2020-10-29T01:10:00,98.931,0.938,7951.856,1545.872
2020-10-29T01:15:00,123.634,0.866,8751.564,1898.534
2020-10-29T01:20:00,92.573,0.953,1229.225,1945.571
2020-10-29T01:25:00,116.308,0.915,5095.433,3144.608
2020-10-29T01:30:00,123.061,0.965,6398.519,2061.023
2020-10-29T01:35:00,108.208,0.946,3689.289,2245.741
2020-10-29T01:40:00,126.085,0.992,5367.742,3502.376
2020-10-29T01:45:00,118.936,0.984,2817.003,3710.027
2020-10-29T01:50:00,103.142,0.797,5795.098,1708.3
2020-10-29T01:55:00,85.932,0.99,1088.301,1460.387
2020-10-29T02:00:00,79.788,0.972,1306.275,1207.33
2020-10-29T02:05:00,98.652,0.969,2207.031,2052.027
2020-10-29T02:10:00,105.243,0.953,10276.594,2010.721
2020-10-29T02:15:00,96.605,0.999,4489.614,1661.691
2020-10-29T02:20:00,98.554,0.934,10320.658,1212.8
2020-10-29T02:25:00,95.149,0.975,1223.786,1741.825
2020-10-29T02:30:00,98.485,0.997,1465.87,1899.113
2020-10-29T02:35:00,98.265,0.939,3925.367,1712.438
2020-10-29T02:40:00,32.593,0.877,867.431,41.208
2020-10-29T02:50:00,73.756,0.85,646.884,430.853
2020-10-29T02:55:00,111.179,0.991,1643.187,1440.574
2020-10-29T03:00:00,110.983,0.975,3158.294,2676.068
2020-10-29T03:05:00,100.549,0.921,3930.746,2346.391
2020-10-29T03:10:00,111.255,0.942,7442.496,3029.739
2020-10-29T03:15:00,115.651,0.821,5299.2,2612.214
2020-10-29T03:20:00,84.822,0.999,1425.629,1372.578
2020-10-29T03:25:00,87.409,0.984,1195.649,1483.871
2020-10-29T03:30:00,89.064,1.003,2039.205,1438.592
2020-10-29T03:35:00,110.182,0.971,5900.114,1471.838
2020-10-29T03:40:00,105.653,0.995,3799.547,2211.919
2020-10-29T03:45:00,104.119,0.99,1672.362,2878.45
2020-10-29T03:50:00,100.65,0.985,1937.002,2183.288
2020-10-29T03:55:00,99.717,0.991,1800.283,2170.667
2020-10-29T04:00:00,93.214,0.975,2091.297,2122.534
2020-10-29T04:05:00,112.588,0.957,3214.768,2701.545
2020-10-29T04:10:00,91.496,0.996,1694.474,1618.237
2020-10-29T04:15:00,86.574,1.004,2617.616,1527.711
2020-10-29T04:20:00,109.354,1.003,5941.618,1911.652
2020-10-29T04:25:00,91.438,0.984,2607.38,1393.18
2020-10-29T04:30:00,100.238,0.882,3461.573,1723.233
2020-10-29T04:35:00,71.997,1.0,2762.004,532.582
2020-10-29T04:40:00,44.602,0.966,1501.797,285.012
2020-10-29T04:45:00,88.241,0.803,3286.016,926.3
2020-10-29T04:50:00,61.99,0.943,1226.691,741.304
2020-10-29T04:55:00,69.819,0.943,1684.824,745.625
2020-10-29T05:00:00,85.909,0.96,4998.288,924.438
2020-10-29T05:05:00,96.484,1.005,4434.325,2013.506
2020-10-29T05:10:00,98.71,0.953,2655.31,2067.662
2020-10-29T05:15:00,98.505,1.004,2675.197,2881.535
2020-10-29T05:20:00,96.917,1.003,1162.257,2257.813
2020-10-29T05:25:00,78.28,0.989,1703.411,1203.471
2020-10-29T05:30:00,102.596,1.003,6085.48,2172.888
2020-10-29T05:35:00,104.828,0.951,7884.023,1575.668
2020-10-29T05:40:00,98.68,0.992,1711.921,3150.099
2020-10-29T05:45:00,115.329,0.9,3714.501,2316.582
2020-10-29T05:50:00,111.623,0.99,3027.508,2612.967
2020-10-29T05:55:00,66.854,0.94,2359.131,342.728
2020-10-29T06:00:00,73.005,0.821,6256.359,724.103
2020-10-29T22:50:00,56.859,0.969,2222.074,692.961
2020-10-29T22:55:00,90.45,0.869,4502.697,1459.476
2020-10-29T23:00:00,92.758,0.948,2210.262,2249.491
2020-10-29T23:05:00,107.346,0.973,3978.432,3868.056
2020-10-29T23:10:00,107.314,0.894,1734.173,3470.237
2020-10-29T23:15:00,104.522,0.966,5261.142,2542.561
2020-10-29T23:20:00,108.542,0.92,1800.87,3392.309
2020-10-29T23:25:00,122.292,0.98,2264.075,4589.523
2020-10-29T23:30:00,133.788,0.971,3377.697,6369.164
2020-10-29T23:35:00,52.013,0.885,1582.549,549.5
2020-10-29T23:40:00,62.458,0.995,2287.673,892.063
2020-10-29T23:45:00,35.606,0.993,1395.271,332.827
2020-10-29T23:50:00,51.908,0.936,1551.824,424.932
2020-10-29T23:55:00,70.073,0.888,2028.805,886.403
