timestamp,rmssd,coverage,low_frequency,high_frequency
2021-05-23T00:00:00,25.155,0.999,357.005,181.384
2021-05-23T00:05:00,22.638,0.995,403.145,142.95
2021-05-23T00:10:00,19.373,0.993,242.669,104.68
2021-05-23T00:15:00,17.502,1.003,281.857,87.138
2021-05-23T00:20:00,18.597,0.98,592.399,62.727
2021-05-23T00:25:00,21.794,1.002,807.148,109.537
2021-05-23T00:30:00,17.824,1.004,325.27,73.74
2021-05-23T00:35:00,17.329,1.0,284.704,74.313
2021-05-23T00:40:00,19.19,0.933,816.966,36.91
2021-05-23T00:45:00,12.499,1.001,213.25,44.693
2021-05-23T00:50:00,15.609,0.882,577.217,50.166
2021-05-23T00:55:00,22.59,1.007,575.644,151.761
2021-05-23T01:00:00,18.312,0.944,1459.12,127.835
2021-05-23T01:05:00,29.164,1.0,741.053,286.216
2021-05-23T01:10:00,26.337,1.0,290.325,186.876
2021-05-23T01:15:00,23.858,1.004,209.431,130.574
2021-05-23T01:20:00,23.684,1.001,556.442,116.881
2021-05-23T01:25:00,22.132,0.978,523.01,130.367
2021-05-23T01:30:00,26.699,0.83,561.429,117.328
2021-05-23T01:35:00,27.793,0.955,2280.42,263.296
2021-05-23T01:40:00,25.015,1.003,1664.364,147.801
2021-05-23T01:45:00,21.432,1.004,891.463,141.409
2021-05-23T01:50:00,20.767,0.999,402.859,145.069
2021-05-23T01:55:00,18.721,1.004,387.747,97.134
2021-05-23T02:00:00,17.66,1.002,333.394,62.345
2021-05-23T02:05:00,20.875,0.999,859.636,87.201
2021-05-23T02:10:00,23.161,0.857,945.034,99.589
2021-05-23T02:15:00,25.199,1.004,1093.251,262.691
2021-05-23T02:20:00,10.573,0.975,310.254,27.78
2021-05-23T02:25:00,11.297,0.932,385.995,18.837
2021-05-23T02:30:00,15.311,0.987,376.279,46.224
2021-05-23T02:35:00,14.014,0.999,284.136,25.829
2021-05-23T02:40:00,15.7,1.003,774.814,76.893
2021-05-23T02:45:00,14.792,1.003,854.093,67.689
2021-05-23T02:50:00,25.468,1.004,1164.215,143.093
2021-05-23T02:55:00,22.453,0.999,403.899,104.142
2021-05-23T03:00:00,27.043,1.004,522.594,194.131
2021-05-23T03:05:00,22.051,0.998,452.334,126.621
2021-05-23T03:10:00,24.008,0.998,398.327,168.538
2021-05-23T03:15:00,24.144,1.001,582.716,151.202
2021-05-23T03:20:00,27.123,1.003,876.736,113.665
2021-05-23T03:25:00,33.1,0.915,1108.038,161.132
2021-05-23T03:30:00,44.043,0.953,2117.621,414.284
2021-05-23T03:35:00,34.163,1.003,1223.096,288.373
2021-05-23T03:40:00,31.467,0.953,1166.398,134.942
2021-05-23T03:45:00,40.692,1.004,558.273,318.151
2021-05-23T03:50:00,39.793,0.913,2474.732,445.953
2021-05-23T03:55:00,18.715,0.947,428.782,84.13
2021-05-23T04:00:00,15.982,1.003,312.0,47.722
2021-05-23T04:05:00,13.244,0.967,272.854,30.494
2021-05-23T04:10:00,27.088,0.925,1335.223,186.921
2021-05-23T04:15:00,33.133,1.003,1220.813,352.166
2021-05-23T04:20:00,31.107,0.992,732.894,322.434
2021-05-23T04:25:00,30.017,0.957,773.692,158.236
2021-05-23T04:30:00,37.686,1.002,1977.449,312.286
2021-05-23T04:35:00,36.326,0.979,2808.362,281.106
2021-05-23T04:40:00,41.021,0.939,1313.787,464.256
2021-05-23T04:45:00,42.745,1.001,2255.46,398.075
2021-05-23T04:50:00,32.337,1.0,1045.802,237.575
2021-05-23T04:55:00,29.321,0.994,1953.806,359.878
2021-05-23T05:00:00,13.154,0.967,617.172,45.507
2021-05-23T05:05:00,13.561,0.96,854.668,31.166
2021-05-23T05:10:00,15.318,0.87,842.198,28.416
2021-05-23T05:25:00,22.828,0.941,892.589,92.459
2021-05-23T05:30:00,29.479,0.885,553.608,152.916
2021-05-23T05:35:00,22.758,0.852,1497.135,454.738
2021-05-23T05:45:00,19.442,0.767,450.517,74.255
2021-05-23T05:50:00,19.766,0.783,474.413,66.268
2021-05-23T05:55:00,19.261,0.726,158.28,36.03
2021-05-23T06:00:00,19.082,0.956,2749.11,112.18
2021-05-23T06:05:00,21.962,0.803,787.847,91.227
2021-05-23T06:10:00,19.226,0.905,1292.463,156.869
2021-05-23T06:15:00,18.393,0.768,879.221,84.57
2021-05-23T06:25:00,32.074,0.97,1240.999,239.298
2021-05-23T06:30:00,39.924,1.003,2760.715,328.875
2021-05-23T06:35:00,33.693,0.875,1713.812,206.626
2021-05-23T06:40:00,27.654,0.954,673.551,188.232
2021-05-23T20:50:00,80.835,0.908,3283.768,1652.186
2021-05-23T20:55:00,95.352,0.814,5019.261,1830.307
2021-05-23T21:00:00,74.19,0.991,3526.534,1537.111
2021-05-23T21:05:00,34.1,0.962,4691.194,612.682
2021-05-23T21:10:00,32.589,0.975,1080.352,478.125
2021-05-23T21:15:00,43.75,0.888,1468.273,386.217
2021-05-23T21:20:00,41.241,0.98,1632.352,598.186
2021-05-23T21:35:00,33.567,0.807,1785.157,263.864
2021-05-23T21:40:00,27.224,0.982,883.795,245.382
2021-05-23T21:45:00,50.446,0.95,2948.698,685.509
2021-05-23T21:50:00,38.711,0.998,1127.78,312.551
2021-05-23T21:55:00,53.967,0.992,1897.82,1000.986
2021-05-23T22:00:00,43.856,0.986,1708.086,636.189
2021-05-23T22:05:00,67.418,0.975,3771.524,987.23
2021-05-23T22:10:00,54.88,1.001,3342.393,927.938
2021-05-23T22:15:00,87.633,0.991,6279.002,1447.414
2021-05-23T22:20:00,79.892,0.887,3468.872,1073.902
2021-05-23T22:25:00,34.627,0.987,2929.489,301.428
2021-05-23T22:30:00,41.435,0.96,1690.284,561.28
2021-05-23T22:35:00,37.548,1.002,3509.45,594.585
2021-05-23T22:40:00,30.446,1.003,1340.094,176.204
2021-05-23T22:45:00,45.975,1.004,4085.114,594.311
2021-05-23T22:50:00,50.971,0.916,4170.74,737.934
2021-05-23T22:55:00,109.052,0.932,3541.432,2382.138
2021-05-23T23:00:00,135.905,1.003,9597.488,3377.978
2021-05-23T23:05:00,135.154,0.978,8406.357,4003.784
2021-05-23T23:10:00,152.418,1.0,5174.631,4683.757
2021-05-23T23:15:00,141.3,1.007,4369.875,4085.19
2021-05-23T23:25:00,91.649,0.999,4517.197,1884.955
2021-05-23T23:30:00,142.469,0.998,6059.841,4210.668
2021-05-23T23:35:00,88.84,0.972,6253.238,2011.933
2021-05-23T23:40:00,90.203,0.924,4029.06,1752.108
2021-05-23T23:45:00,92.086,1.002,2960.997,2416.608
2021-05-23T23:50:00,93.422,0.951,8320.285,1710.658
2021-05-23T23:55:00,81.243,0.975,3293.525,1384.452
