timestamp,rmssd,coverage,low_frequency,high_frequency
2021-10-30T00:50:00,25.835,0.924,424.031,134.699
2021-10-30T00:55:00,45.195,0.99,1347.558,567.573
2021-10-30T01:00:00,44.403,1.004,567.898,675.115
2021-10-30T01:05:00,36.074,0.995,588.246,347.482
2021-10-30T01:10:00,36.147,1.001,1242.871,344.753
2021-10-30T01:15:00,29.42,1.004,601.789,252.351
2021-10-30T01:20:00,27.483,1.003,595.736,229.674
2021-10-30T01:25:00,27.269,1.006,556.074,278.504
2021-10-30T01:30:00,23.837,1.002,144.611,172.684
2021-10-30T01:35:00,22.459,1.001,294.561,119.034
2021-10-30T01:40:00,28.648,0.992,878.713,195.64
2021-10-30T01:45:00,27.157,1.003,424.059,186.007
2021-10-30T01:50:00,23.029,0.909,791.051,177.441
2021-10-30T01:55:00,32.374,1.004,2245.627,273.726
2021-10-30T02:00:00,34.074,0.978,1729.56,238.951
2021-10-30T02:05:00,15.299,0.977,580.567,45.568
2021-10-30T02:10:00,15.032,0.936,544.191,36.913
2021-10-30T02:15:00,14.839,1.003,253.817,68.66
2021-10-30T02:20:00,22.699,0.962,1053.927,179.593
2021-10-30T02:25:00,25.63,1.004,698.31,240.64
2021-10-30T02:30:00,23.665,1.004,302.778,165.86
2021-10-30T02:35:00,25.109,1.001,1666.693,207.502
2021-10-30T02:40:00,21.252,1.002,309.068,171.258
2021-10-30T02:45:00,21.361,1.004,183.259,140.973
2021-10-30T02:50:00,28.017,0.96,952.73,162.939
2021-10-30T02:55:00,30.827,0.972,1322.198,172.932
2021-10-30T03:00:00,39.669,0.991,3688.567,431.648
2021-10-30T03:05:00,41.38,0.946,2517.471,474.453
2021-10-30T03:10:00,30.312,1.006,476.12,262.962
2021-10-30T03:15:00,33.48,0.995,2157.271,286.556
2021-10-30T03:20:00,33.392,0.951,1831.505,244.869
2021-10-30T03:25:00,31.316,0.995,2295.489,275.022
2021-10-30T03:30:00,28.854,0.992,520.283,235.461
2021-10-30T03:35:00,28.145,1.004,613.243,157.763
2021-10-30T03:40:00,32.341,0.971,2079.619,239.401
2021-10-30T03:45:00,14.059,0.954,455.934,25.609
2021-10-30T03:50:00,12.275,0.926,339.673,29.081
2021-10-30T03:55:00,10.285,1.003,431.061,19.47
2021-10-30T04:00:00,18.336,0.878,499.14,80.731
2021-10-30T04:05:00,20.062,0.88,295.148,112.84
2021-10-30T04:10:00,27.304,1.002,921.905,174.466
2021-10-30T04:15:00,22.697,0.894,611.223,149.375
2021-10-30T04:20:00,31.149,0.998,851.908,295.308
2021-10-30T04:25:00,27.159,0.983,354.52,278.162
2021-10-30T04:30:00,26.814,0.92,873.312,338.367
2021-10-30T04:35:00,32.666,0.951,1252.97,301.953
2021-10-30T04:40:00,22.623,1.0,317.762,154.74
2021-10-30T04:45:00,14.727,0.728,1302.392,43.935
2021-10-30T22:30:00,75.181,0.872,3398.536,993.421
2021-10-30T22:35:00,49.483,0.909,2154.151,416.548
2021-10-30T22:40:00,58.106,1.004,1824.626,794.291
2021-10-30T22:45:00,59.435,0.797,1985.065,526.018
2021-10-30T22:50:00,59.389,1.001,2463.531,1016.75
2021-10-30T22:55:00,62.881,0.995,909.604,1112.324
2021-10-30T23:00:00,63.656,1.005,730.579,1245.528
2021-10-30T23:05:00,61.334,0.917,1067.454,1050.489
2021-10-30T23:10:00,39.073,1.002,1258.4,276.154
2021-10-30T23:15:00,35.721,0.998,787.05,251.436
2021-10-30T23:20:00,44.505,0.857,2455.862,479.88
2021-10-30T23:25:00,56.667,1.003,831.277,1004.175
2021-10-30T23:30:00,28.78,0.976,1008.764,262.839
2021-10-30T23:35:00,29.257,0.793,878.838,117.424
2021-10-30T23:40:00,21.427,0.913,444.459,134.198
2021-10-30T23:45:00,20.653,0.954,343.441,81.095
2021-10-30T23:50:00,23.474,0.965,2637.202,77.893
2021-10-30T23:55:00,33.239,0.944,1482.304,257.402
