timestamp,rmssd,coverage,low_frequency,high_frequency
2021-04-17T00:00:00,35.79,0.997,624.089,653.083
2021-04-17T00:05:00,44.364,0.933,718.469,486.086
2021-04-17T00:10:00,59.476,0.987,1695.806,1132.861
2021-04-17T00:15:00,62.644,0.891,4127.224,782.447
2021-04-17T00:20:00,73.327,0.968,604.599,1176.126
2021-04-17T00:25:00,65.861,1.006,951.764,1087.659
2021-04-17T00:30:00,67.951,0.988,1279.708,1132.529
2021-04-17T00:35:00,85.14,0.964,2389.317,1719.307
2021-04-17T00:40:00,62.654,1.003,1635.769,908.233
2021-04-17T00:45:00,59.714,0.987,2434.969,841.652
2021-04-17T00:50:00,70.28,0.918,3383.632,867.698
2021-04-17T00:55:00,88.685,0.988,4391.188,1693.088
2021-04-17T01:00:00,94.927,0.998,2959.433,2346.337
2021-04-17T01:05:00,75.897,0.861,3940.531,1201.071
2021-04-17T01:10:00,87.606,0.987,7801.113,1680.741
2021-04-17T01:15:00,80.927,0.992,5093.646,1443.748
2021-04-17T01:20:00,88.455,0.855,2362.747,1654.617
2021-04-17T01:25:00,86.981,0.991,3998.899,1868.743
2021-04-17T01:30:00,89.414,0.908,6149.46,1712.145
2021-04-17T01:35:00,77.994,0.99,3740.504,1367.705
2021-04-17T01:40:00,61.552,0.899,1875.791,563.065
2021-04-17T01:45:00,30.151,0.986,4335.386,141.251
2021-04-17T01:50:00,70.935,0.864,5104.493,935.301
2021-04-17T01:55:00,72.201,0.927,3685.184,1095.109
2021-04-17T02:00:00,69.184,0.953,2903.448,1000.458
2021-04-17T02:05:00,42.316,0.943,1784.1,376.547
2021-04-17T02:10:00,24.616,1.002,582.758,204.955
2021-04-17T02:15:00,117.337,0.874,1445.54,2708.094
2021-04-17T02:20:00,33.306,0.952,3676.445,605.619
2021-04-17T02:25:00,49.63,0.988,1450.205,825.353
2021-04-17T02:30:00,54.175,0.928,1860.707,673.356
2021-04-17T02:35:00,102.86,0.991,5378.677,2081.662
2021-04-17T02:40:00,84.651,1.003,4135.932,2156.895
2021-04-17T02:45:00,66.431,0.993,3100.951,1541.659
2021-04-17T02:50:00,81.156,0.98,2637.305,1579.422
2021-04-17T02:55:00,74.183,1.002,1714.868,1335.16
2021-04-17T03:00:00,76.497,1.004,1923.963,1406.366
2021-04-17T03:05:00,73.616,0.99,1495.593,1230.317
2021-04-17T03:10:00,74.029,1.003,2159.843,1206.819
2021-04-17T03:15:00,69.54,0.998,2123.651,1188.702
2021-04-17T03:20:00,74.804,0.968,2207.661,1867.733
2021-04-17T03:25:00,82.82,0.999,5334.476,1593.113
2021-04-17T03:45:00,86.301,0.977,3606.213,1661.885
