timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2020-10-01T06:41:00,16.4,1.2,3.472,15.0,1.4,3.963,,,,14.2,0.6,2.876
2020-10-02T06:48:30,14.2,0.9,8.58,14.2,1.2,9.25,,,,15.8,1.4,3.552
2020-10-03T07:56:30,14.2,1.1,5.999,14.0,1.7,6.722,,,,13.6,0.7,4.71
2020-10-04T06:51:30,13.2,0.9,4.988,13.2,1.1,11.113,,,,12.6,1.4,5.507
2020-10-05T06:42:30,14.6,0.8,6.327,13.8,1.3,9.11,,,,14.4,2.1,3.474
2020-10-06T06:21:30,13.4,0.7,6.74,13.4,1.2,14.862,,,,14.0,2.8,3.959
2020-10-07T07:36:30,13.6,0.8,8.234,13.2,1.2,9.51,,,,12.8,0.7,2.57
2020-10-08T07:26:30,12.8,0.7,8.005,13.0,1.3,11.025,,,,12.4,1.2,4.952
2020-10-09T06:59:30,13.4,0.9,4.628,12.8,1.3,7.677,,,,13.0,1.6,2.761
2020-10-10T06:55:30,14.6,0.6,5.913,14.2,1.4,5.951,,,,15.0,0.6,3.71
2020-10-11T06:13:30,14.4,1.2,5.656,14.4,1.2,5.656,,,,16.2,0.4,3.03
2020-10-12T06:37:30,13.6,0.5,5.609,13.2,1.5,5.421,,,,14.8,2.5,3.461
2020-10-13T06:05:30,14.2,1.0,6.517,14.0,1.4,8.541,,,,12.2,2.0,3.113
2020-10-14T07:17:30,13.2,0.7,11.236,13.2,1.3,10.229,,,,14.2,2.0,2.846
2020-10-15T06:57:30,12.6,1.0,6.583,12.6,1.0,6.583,,,,-1.0,0.0,0.0
2020-10-16T07:05:30,15.6,0.8,4.461,13.2,1.6,8.14,,,,14.4,1.4,2.88
2020-10-17T07:17:00,15.6,0.6,6.394,14.0,1.3,3.692,,,,13.6,0.8,2.843
2020-10-18T06:30:30,14.2,1.3,5.565,14.2,1.3,5.565,,,,-1.0,0.0,2.272
2020-10-18T07:40:30,14.2,1.3,5.75,14.2,1.3,5.75,,,,27.2,0.5,2.526
2020-10-19T06:34:30,13.6,1.3,8.593,13.6,1.3,8.593,,,,12.2,0.8,2.611
2020-10-20T07:22:30,13.4,1.1,5.476,13.2,1.3,7.537,,,,12.8,0.8,3.269
2020-10-21T06:09:00,13.8,0.7,5.534,13.2,1.7,6.022,,,,-1.0,0.0,2.068
2020-10-22T06:09:30,13.4,0.7,9.785,13.0,1.1,9.355,,,,13.8,1.9,3.055
2020-10-23T06:38:30,13.8,1.1,7.413,13.2,1.1,9.203,,,,-1.0,0.0,2.253
2020-10-24T03:44:00,14.4,1.3,4.308,14.2,1.2,6.226,,,,13.0,0.7,3.156
2020-10-24T07:52:30,14.4,1.5,5.007,14.0,1.4,5.611,,,,-1.0,0.0,2.203
2020-10-25T07:24:30,16.0,0.7,4.697,15.2,1.7,3.701,,,,-1.0,0.0,2.047
2020-10-26T06:57:30,14.0,0.6,7.721,13.4,1.3,6.872,,,,11.0,0.6,3.381
2020-10-27T07:09:30,13.2,1.1,4.92,13.0,1.1,9.133,,,,12.4,3.9,2.871
2020-10-28T06:57:30,14.4,0.5,4.045,13.0,1.5,10.384,,,,12.2,1.9,2.971
2020-10-29T06:06:30,12.2,0.7,4.041,13.2,1.3,8.852,,,,12.0,0.4,2.575
2020-10-30T07:29:30,13.8,0.7,7.101,13.4,1.4,6.678,,,,12.4,1.4,3.39
2020-10-31T07:10:30,14.2,1.0,8.401,13.4,1.2,5.881,,,,13.8,0.7,2.819
