timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-01-01T08:35:30,15.0,0.6,3.132,14.2,1.6,3.025,,,,13.8,1.1,2.853
2021-01-02T07:35:30,13.8,0.6,4.884,13.8,1.2,6.558,,,,12.0,1.6,3.979
2021-01-03T07:02:30,13.6,0.8,5.14,13.6,1.3,7.312,,,,-1.0,0.0,2.091
2021-01-04T06:52:30,13.6,0.9,5.385,13.6,1.3,3.274,,,,14.4,0.7,4.13
2021-01-05T07:14:00,14.4,1.4,4.759,14.2,1.2,4.564,,,,13.6,1.1,3.28
2021-01-06T07:17:30,14.4,1.6,4.397,13.8,1.1,4.327,,,,0.6,0.4,2.537
2021-01-07T06:45:30,14.0,1.0,3.159,14.0,1.0,3.159,,,,-1.0,0.0,2.41
2021-01-08T06:58:30,13.8,0.9,5.731,13.8,1.1,5.888,,,,-1.0,0.0,2.317
2021-01-09T07:36:30,15.2,1.3,5.166,14.2,1.1,6.038,,,,15.0,3.0,4.355
2021-01-10T07:03:00,14.8,0.7,5.842,14.0,1.3,6.491,,,,-1.0,0.0,1.633
2021-01-11T07:17:30,13.8,0.6,4.258,13.6,1.2,4.15,,,,29.6,0.4,4.026
2021-01-12T07:23:30,13.6,1.4,6.445,13.6,1.4,6.445,,,,12.4,0.5,3.819
2021-01-13T06:07:30,14.4,1.0,4.347,13.8,1.7,6.59,,,,13.8,1.8,2.884
2021-01-14T07:04:00,13.0,0.8,6.54,13.8,1.4,7.795,,,,12.8,1.1,3.177
2021-01-15T07:00:00,13.6,1.5,8.253,13.6,1.5,8.253,,,,-1.0,0.0,2.457
2021-01-16T08:03:30,13.4,1.0,6.737,13.6,1.2,6.81,,,,10.6,0.5,2.794
2021-01-17T07:42:30,14.2,1.0,6.999,13.4,1.0,7.475,,,,12.8,0.7,4.098
2021-01-18T07:04:30,14.6,0.9,6.716,14.2,1.9,6.567,,,,13.8,0.4,2.82
2021-01-19T06:06:30,14.2,1.4,6.608,14.2,1.4,6.608,,,,13.8,2.2,2.675
2021-01-20T06:57:30,13.8,1.2,4.692,13.8,1.2,8.293,,,,16.2,0.6,3.653
2021-01-21T06:36:30,14.2,0.8,7.937,13.6,1.4,6.571,,,,14.8,1.4,2.952
2021-01-22T07:20:30,13.6,1.2,6.473,13.4,1.3,6.867,,,,12.6,0.6,2.947
2021-01-23T07:55:30,13.6,1.5,6.501,13.6,1.5,6.501,,,,14.2,0.9,3.687
2021-01-24T08:14:30,14.0,1.2,5.793,13.8,1.3,6.157,,,,14.6,3.0,3.249
2021-01-25T06:44:30,13.6,1.1,5.883,13.4,1.3,7.952,,,,13.0,1.2,2.632
2021-01-26T06:10:30,14.2,0.8,5.429,14.0,1.1,7.745,,,,13.4,0.9,3.362
2021-01-27T06:54:30,13.8,0.7,4.403,13.2,1.1,4.699,,,,13.4,1.0,2.955
2021-01-28T06:23:00,13.2,1.5,5.344,13.2,1.5,5.344,,,,14.2,0.5,2.603
2021-01-29T07:31:30,14.4,1.3,4.84,14.0,1.5,5.899,,,,13.8,2.0,3.312
2021-01-30T07:24:00,13.6,1.3,6.123,13.4,1.1,8.709,,,,-1.0,0.0,2.388
2021-01-31T07:54:30,12.6,1.0,8.303,12.6,1.0,8.303,,,,15.6,0.5,2.606
