timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-02-01T07:22:30,13.4,1.3,6.787,13.4,1.3,6.787,,,,-1.0,0.0,2.386
2021-02-02T04:52:00,16.6,0.6,5.106,-1.0,0.0,2.454,,,,-1.0,0.0,1.958
2021-02-02T07:09:00,16.6,0.6,5.106,15.0,1.9,2.703,,,,-1.0,0.0,1.706
2021-02-03T06:13:30,13.8,0.9,4.881,13.4,1.2,6.511,,,,11.4,0.6,2.706
2021-02-04T06:00:30,12.8,1.0,7.78,12.8,1.0,7.78,,,,13.6,2.7,3.298
2021-02-05T07:22:30,14.4,1.8,6.059,14.2,1.0,8.626,,,,15.6,0.7,2.677
2021-02-06T06:28:30,15.6,0.8,5.142,-1.0,0.0,2.017,,,,10.4,0.5,2.527
2021-02-07T07:14:30,12.2,0.7,5.65,14.0,1.4,5.655,,,,13.0,0.9,2.85
2021-02-08T06:47:00,15.0,1.3,6.773,14.6,1.3,5.435,,,,13.6,0.5,2.685
2021-02-09T06:37:30,14.4,0.6,5.046,13.8,1.5,10.08,,,,-1.0,0.0,2.403
2021-02-10T07:20:00,13.0,1.3,8.72,13.0,1.3,8.72,,,,11.8,0.5,2.685
2021-02-11T07:25:30,14.0,1.2,5.381,13.4,1.7,6.526,,,,13.0,0.5,2.886
2021-02-12T07:32:30,14.4,1.0,5.624,14.0,1.2,5.423,,,,13.6,1.7,3.098
2021-02-13T07:49:30,14.0,1.4,8.567,13.4,0.8,8.045,,,,12.8,3.3,3.079
2021-02-14T07:29:00,11.4,0.9,7.183,13.2,1.5,6.053,,,,12.4,0.5,3.04
2021-02-15T06:54:30,13.2,1.1,4.246,13.0,1.4,6.905,,,,14.0,2.7,3.485
2021-02-16T07:03:30,14.0,1.3,5.033,13.6,1.0,8.132,,,,13.2,1.5,3.762
2021-02-17T07:09:30,14.0,1.8,9.797,13.4,1.4,8.078,,,,13.8,1.2,3.389
2021-02-18T06:12:30,13.2,1.6,5.266,13.2,1.7,6.889,,,,-1.0,0.0,2.4
2021-02-19T06:04:30,13.4,1.4,8.299,13.4,1.4,8.299,,,,14.0,0.7,2.987
2021-02-20T07:20:30,15.4,1.0,4.828,13.8,0.6,3.39,,,,14.4,0.6,3.172
2021-02-21T08:10:30,14.8,0.8,8.702,13.8,1.8,5.346,,,,11.2,0.8,2.592
2021-02-22T06:52:30,13.6,1.0,4.579,13.0,1.3,9.455,,,,12.2,2.6,2.977
2021-02-23T06:03:30,13.6,1.1,11.827,13.6,1.1,11.827,,,,16.6,0.5,3.22
2021-02-24T06:36:30,13.6,1.2,11.828,13.6,1.2,11.828,,,,14.4,1.1,3.263
2021-02-25T06:56:30,14.4,1.2,7.469,14.4,1.2,7.469,,,,-1.0,0.0,2.466
2021-02-26T06:21:30,14.2,1.3,4.984,13.2,1.1,5.84,,,,13.8,1.3,3.976
2021-02-27T06:52:30,14.8,1.4,6.191,14.0,1.6,4.907,,,,14.4,0.6,2.735
2021-02-28T06:57:30,15.2,1.1,4.288,14.8,1.1,4.579,,,,14.2,0.7,3.416
