timestamp,rmssd,coverage,low_frequency,high_frequency
2021-12-25T00:00:00,33.676,0.707,1106.938,199.237
2021-12-25T00:05:00,40.314,0.988,2305.16,487.833
2021-12-25T00:10:00,46.036,0.991,1188.664,631.093
2021-12-25T00:15:00,46.335,0.876,2279.629,502.951
2021-12-25T00:20:00,47.561,0.994,1391.848,621.927
2021-12-25T00:25:00,36.985,0.908,815.945,386.536
2021-12-25T00:30:00,40.625,0.788,2067.472,243.704
2021-12-25T00:35:00,23.177,0.916,3961.533,908.735
2021-12-25T00:40:00,20.265,0.743,808.475,129.968
2021-12-25T00:50:00,22.223,0.867,414.553,173.603
2021-12-25T00:55:00,35.115,1.004,1974.158,440.265
2021-12-25T01:00:00,45.73,0.988,5523.432,533.161
2021-12-25T01:05:00,41.991,0.976,1004.934,581.722
2021-12-25T01:10:00,62.689,0.91,6144.504,724.738
2021-12-25T01:15:00,60.875,0.966,3297.709,773.602
2021-12-25T01:20:00,56.493,1.002,3767.146,817.034
2021-12-25T01:25:00,58.074,0.958,2687.376,925.419
2021-12-25T01:30:00,62.838,0.989,3633.26,1050.834
2021-12-25T01:35:00,58.999,0.99,5207.654,1172.274
2021-12-25T01:40:00,69.379,0.979,6096.002,1831.214
2021-12-25T01:45:00,53.901,0.927,3004.285,631.208
2021-12-25T02:00:00,21.964,0.943,404.46,104.212
2021-12-25T02:05:00,37.759,0.877,942.354,360.298
2021-12-25T02:10:00,40.872,1.002,1378.132,639.819
2021-12-25T02:15:00,45.398,0.989,1052.728,647.609
2021-12-25T02:20:00,56.487,0.976,2091.074,988.435
2021-12-25T02:25:00,43.131,1.002,1933.516,574.854
2021-12-25T02:30:00,43.295,0.998,444.975,727.312
2021-12-25T02:35:00,47.903,0.977,2654.405,616.565
2021-12-25T02:40:00,69.218,0.91,6606.001,1062.262
2021-12-25T02:45:00,50.064,1.001,1904.452,493.313
2021-12-25T02:50:00,61.72,0.878,3664.56,899.09
2021-12-25T02:55:00,65.635,1.002,4025.065,1230.755
2021-12-25T03:00:00,55.919,0.976,2744.293,712.261
2021-12-25T03:05:00,52.939,0.954,3506.085,942.171
2021-12-25T03:10:00,55.159,0.968,3569.638,958.068
2021-12-25T03:15:00,42.724,0.982,669.723,621.036
2021-12-25T03:20:00,44.755,1.005,1316.254,842.053
2021-12-25T03:25:00,41.776,0.923,1801.374,426.264
2021-12-25T03:30:00,63.251,0.881,5495.994,693.214
2021-12-25T03:35:00,16.783,0.996,590.213,65.338
2021-12-25T03:40:00,13.402,0.99,367.726,38.032
2021-12-25T03:45:00,19.312,0.989,416.796,72.896
2021-12-25T03:50:00,32.373,0.917,1600.855,335.545
2021-12-25T03:55:00,35.456,0.985,979.222,380.818
2021-12-25T04:00:00,44.051,0.933,1677.497,614.4
2021-12-25T04:05:00,62.28,0.949,1455.026,1206.245
2021-12-25T04:10:00,52.488,1.002,2862.734,895.25
2021-12-25T04:15:00,46.435,1.004,2458.592,569.336
2021-12-25T04:20:00,48.175,1.0,3045.803,594.968
2021-12-25T04:25:00,53.134,0.989,1666.829,841.309
2021-12-25T04:30:00,48.796,0.999,903.085,817.106
2021-12-25T04:35:00,47.487,0.982,958.544,548.91
2021-12-25T04:40:00,56.579,0.989,3412.028,1057.166
2021-12-25T04:45:00,50.827,0.986,3593.313,664.493
2021-12-25T04:50:00,57.751,0.961,1994.03,736.239
2021-12-25T04:55:00,69.489,0.94,2517.483,1139.479
2021-12-25T05:00:00,72.804,0.987,4046.434,1283.742
2021-12-25T05:05:00,60.676,0.997,2966.106,960.133
2021-12-25T05:10:00,43.565,0.983,1374.499,454.939
2021-12-25T05:15:00,58.339,0.897,5965.788,873.641
2021-12-25T05:20:00,31.776,0.953,1325.324,205.396
2021-12-25T05:25:00,14.827,1.003,753.77,39.268
2021-12-25T05:30:00,29.757,0.955,1365.865,198.466
2021-12-25T05:35:00,39.539,0.846,2944.807,307.457
2021-12-25T05:40:00,28.391,0.943,1366.061,143.528
2021-12-25T05:45:00,26.061,0.977,1084.817,137.474
2021-12-25T05:50:00,21.049,0.996,648.003,89.68
2021-12-25T05:55:00,31.277,0.936,1525.806,124.39
2021-12-25T06:00:00,40.077,0.816,1401.315,175.722
2021-12-25T06:05:00,38.689,0.942,2004.572,495.669
2021-12-25T06:20:00,100.412,0.968,5112.784,2723.543
2021-12-25T06:25:00,62.392,0.84,2736.203,591.795
2021-12-25T06:30:00,58.075,0.95,2982.973,582.13
2021-12-25T06:35:00,60.59,1.002,4244.132,817.132
2021-12-25T06:40:00,45.928,0.889,1794.429,541.303
2021-12-25T06:50:00,39.324,0.881,1231.416,368.856
2021-12-25T06:55:00,40.747,0.968,1624.206,635.212
2021-12-25T07:00:00,39.806,0.87,1301.536,462.148
2021-12-25T07:05:00,34.462,0.94,856.56,341.731
2021-12-25T07:10:00,31.793,0.745,1860.765,370.982
2021-12-25T07:15:00,36.219,0.959,1595.172,273.912
2021-12-25T07:20:00,32.508,0.902,1204.443,395.536
2021-12-25T07:25:00,36.833,0.953,1229.167,291.642
2021-12-25T07:30:00,35.122,0.902,754.543,315.455
2021-12-25T07:35:00,54.292,0.768,1582.723,254.105
