timestamp,rmssd,coverage,low_frequency,high_frequency
2021-05-26T00:00:00,69.875,0.97,1307.618,1505.304
2021-05-26T00:05:00,65.369,0.972,2566.932,1403.763
2021-05-26T00:10:00,74.283,0.989,5333.406,1589.015
2021-05-26T00:15:00,68.269,1.002,1503.079,1547.526
2021-05-26T00:20:00,75.346,0.992,1423.151,1962.638
2021-05-26T00:25:00,83.37,1.002,3121.812,2462.924
2021-05-26T00:30:00,69.195,0.913,1638.974,1750.371
2021-05-26T00:35:00,59.662,0.989,2741.887,950.259
2021-05-26T00:40:00,64.801,1.005,729.56,1234.948
2021-05-26T00:45:00,63.81,1.001,1554.627,947.098
2021-05-26T00:50:00,66.133,0.992,3392.971,1123.928
2021-05-26T00:55:00,67.346,0.949,1789.417,1089.991
2021-05-26T01:00:00,90.398,1.002,3407.37,2336.451
2021-05-26T01:05:00,52.976,0.995,965.532,668.868
2021-05-26T01:10:00,19.204,1.004,810.5,65.612
2021-05-26T01:15:00,39.538,0.925,610.538,398.344
2021-05-26T01:20:00,19.385,0.887,384.653,52.093
2021-05-26T01:25:00,33.061,0.957,1797.534,245.255
2021-05-26T01:30:00,55.882,0.951,4370.697,636.093
2021-05-26T01:35:00,64.23,0.941,1623.538,825.403
2021-05-26T01:40:00,67.848,0.944,3045.158,1583.519
2021-05-26T01:45:00,154.73,1.002,1605.525,9648.372
2021-05-26T01:50:00,156.488,0.984,2037.581,9357.545
2021-05-26T01:55:00,165.443,1.004,2355.034,8628.324
2021-05-26T02:00:00,139.19,1.001,1215.527,6954.423
2021-05-26T02:05:00,92.687,0.876,6187.021,2551.865
2021-05-26T02:10:00,108.549,0.926,4437.574,2919.063
2021-05-26T02:45:00,74.786,0.785,8634.022,1271.541
2021-05-26T02:50:00,113.733,0.996,3215.055,4568.588
2021-05-26T02:55:00,50.997,1.005,633.868,527.977
2021-05-26T03:00:00,37.708,0.96,2309.283,217.869
2021-05-26T03:05:00,33.305,0.924,1307.486,188.779
2021-05-26T03:10:00,37.001,0.89,1966.925,218.046
2021-05-26T03:15:00,65.205,1.003,942.865,829.253
2021-05-26T03:20:00,79.14,0.957,2707.194,1230.655
2021-05-26T03:25:00,54.817,0.967,1364.037,634.674
2021-05-26T03:30:00,84.574,0.946,4696.818,1568.999
2021-05-26T03:35:00,75.15,0.985,1467.342,1865.911
2021-05-26T03:40:00,79.933,1.005,2007.782,1169.846
2021-05-26T03:45:00,78.04,1.003,1240.253,1563.53
2021-05-26T03:50:00,76.099,0.991,2122.173,1665.842
2021-05-26T03:55:00,79.583,0.955,1758.215,1703.831
2021-05-26T04:00:00,72.51,1.004,995.039,1554.98
2021-05-26T04:05:00,79.932,0.961,3974.444,1619.999
2021-05-26T04:10:00,69.101,1.006,1064.493,1379.135
2021-05-26T04:15:00,67.689,1.003,1376.864,1550.809
2021-05-26T04:20:00,88.763,0.943,6954.762,2215.844
2021-05-26T04:25:00,98.128,1.002,3042.993,2824.999
2021-05-26T04:30:00,82.576,0.962,1826.652,1419.078
2021-05-26T04:35:00,72.436,0.961,2955.351,1298.528
2021-05-26T04:40:00,31.128,0.957,2997.118,211.249
2021-05-26T04:45:00,52.804,0.915,2324.146,470.327
2021-05-26T04:50:00,57.528,0.917,2099.123,602.543
2021-05-26T04:55:00,59.914,0.926,2626.549,690.276
2021-05-26T05:00:00,57.588,0.926,2965.355,632.064
2021-05-26T05:05:00,96.795,0.999,2331.985,2410.9
2021-05-26T05:10:00,92.912,0.994,2426.895,2489.086
2021-05-26T05:15:00,73.123,0.967,2382.134,1150.593
2021-05-26T05:20:00,82.235,1.002,1603.574,2320.875
2021-05-26T05:25:00,86.78,0.955,2608.522,1795.127
2021-05-26T05:30:00,75.366,0.968,1923.557,1581.199
2021-05-26T05:35:00,34.755,0.956,1783.949,218.373
2021-05-26T05:40:00,55.926,0.945,3216.813,606.636
2021-05-26T05:45:00,43.291,0.957,805.552,449.356
2021-05-26T05:50:00,48.631,0.93,4337.954,656.79
2021-05-26T05:55:00,54.206,0.987,1649.515,741.558
2021-05-26T06:00:00,57.638,0.982,2624.454,734.83
2021-05-26T06:05:00,72.438,1.002,1827.611,1299.413
2021-05-26T06:10:00,48.694,0.987,777.147,675.077
2021-05-26T06:15:00,37.262,0.97,1363.828,283.785
2021-05-26T06:20:00,34.862,0.986,1512.725,320.111
2021-05-26T06:25:00,45.051,0.819,2926.044,345.687
2021-05-26T23:30:00,30.611,0.962,655.648,236.806
2021-05-26T23:35:00,44.314,0.996,1322.284,719.059
2021-05-26T23:40:00,70.716,0.998,3654.555,1469.905
2021-05-26T23:45:00,65.629,0.986,2468.294,1220.918
2021-05-26T23:50:00,62.786,1.003,2371.018,1168.654
2021-05-26T23:55:00,56.065,1.003,1948.546,753.982
