timestamp,rmssd,coverage,low_frequency,high_frequency
2021-10-29T00:30:00,75.4,0.939,3034.561,1148.504
2021-10-29T00:35:00,94.133,0.964,3559.753,1577.609
2021-10-29T00:40:00,111.679,0.975,3063.896,2418.233
2021-10-29T00:45:00,80.007,0.954,7237.64,1235.878
2021-10-29T00:50:00,70.979,0.994,2415.294,1022.248
2021-10-29T00:55:00,74.32,1.004,1398.989,1054.646
2021-10-29T01:00:00,86.853,0.981,2304.474,1382.079
2021-10-29T01:05:00,79.053,1.004,511.643,1067.184
2021-10-29T01:10:00,93.789,1.002,384.398,1770.655
2021-10-29T01:15:00,83.156,0.947,4260.529,1297.55
2021-10-29T01:20:00,86.978,0.998,2218.528,1471.49
2021-10-29T01:25:00,80.905,1.003,2041.336,1807.244
2021-10-29T01:30:00,43.261,1.002,668.667,322.297
2021-10-29T01:35:00,55.374,0.946,1516.377,564.431
2021-10-29T01:40:00,71.806,0.929,3613.315,1257.601
2021-10-29T01:45:00,59.258,0.934,916.004,699.67
2021-10-29T01:50:00,78.768,0.998,877.471,1751.546
2021-10-29T01:55:00,88.684,0.957,5231.474,1217.34
2021-10-29T02:00:00,85.936,0.996,545.336,1402.35
2021-10-29T02:05:00,106.608,0.989,1279.723,2339.884
2021-10-29T02:10:00,90.912,0.902,6707.622,1826.995
2021-10-29T02:15:00,80.952,0.932,1166.825,1246.362
2021-10-29T02:20:00,105.359,0.883,4144.903,1319.417
2021-10-29T02:25:00,89.531,0.957,1871.843,1287.79
2021-10-29T02:30:00,86.875,0.968,2079.637,1358.543
2021-10-29T02:35:00,99.83,0.942,5078.598,1588.791
2021-10-29T02:40:00,72.81,0.969,2044.465,744.972
2021-10-29T02:45:00,71.101,0.895,4091.981,791.263
2021-10-29T02:50:00,105.757,0.978,6068.962,2615.69
2021-10-29T02:55:00,89.917,0.996,2445.783,1666.824
2021-10-29T03:00:00,89.717,0.962,6460.625,1183.001
2021-10-29T03:05:00,100.838,0.948,4719.174,1956.808
2021-10-29T03:10:00,93.356,1.003,1201.468,1326.878
2021-10-29T03:15:00,65.319,0.907,1723.84,514.17
2021-10-29T03:20:00,57.745,0.988,4573.587,576.263
2021-10-29T03:25:00,46.709,0.908,6798.955,578.071
2021-10-29T03:30:00,87.128,0.91,3904.46,1160.016
2021-10-29T03:35:00,61.753,0.922,5146.72,807.399
2021-10-29T03:40:00,115.441,0.963,3551.19,1701.082
2021-10-29T03:45:00,51.152,0.931,3332.199,465.766
2021-10-29T03:50:00,50.011,0.898,5289.373,252.701
2021-10-29T03:55:00,120.176,0.988,2254.583,2101.147
2021-10-29T04:00:00,100.108,0.967,1126.415,1942.643
2021-10-29T04:05:00,99.706,1.002,1091.753,1599.546
2021-10-29T04:10:00,63.214,1.003,784.848,762.992
2021-10-29T04:15:00,69.403,0.959,1620.861,1283.946
2021-10-29T04:20:00,83.171,1.005,3214.989,1050.403
2021-10-29T04:25:00,63.211,0.996,1100.095,800.138
2021-10-29T04:30:00,74.63,1.006,2094.193,1195.768
2021-10-29T04:35:00,78.418,0.971,4622.641,1030.593
2021-10-29T04:40:00,96.197,1.005,2575.905,1867.365
2021-10-29T04:45:00,110.108,0.93,2231.927,1826.35
2021-10-29T04:50:00,96.488,0.995,4081.022,1928.443
2021-10-29T04:55:00,61.883,1.003,865.347,708.36
2021-10-29T05:00:00,69.973,0.885,2714.368,666.234
2021-10-29T05:05:00,45.284,0.995,1398.805,338.201
2021-10-29T05:10:00,63.685,0.964,7459.452,1190.324
2021-10-29T05:15:00,35.671,0.964,345.638,186.359
2021-10-29T05:20:00,47.002,0.933,4634.941,455.714
2021-10-29T05:25:00,49.737,1.004,1863.362,534.415
2021-10-29T05:30:00,66.18,0.934,3286.339,1113.708
2021-10-29T05:35:00,68.548,1.004,1738.753,920.664
2021-10-29T05:40:00,59.661,1.004,815.947,867.462
2021-10-29T05:45:00,75.253,1.004,1986.857,1382.23
2021-10-29T05:50:00,76.967,1.002,776.329,1343.056
2021-10-29T05:55:00,83.751,0.997,2692.345,1723.887
2021-10-29T06:00:00,71.449,0.967,8091.647,846.821
2021-10-29T06:05:00,63.373,0.884,3170.761,781.054
2021-10-29T06:10:00,59.856,1.003,1953.737,981.767
2021-10-29T06:15:00,55.832,0.986,1352.462,644.743
2021-10-29T06:20:00,70.707,1.005,9360.932,1184.115
2021-10-29T06:30:00,50.924,0.961,2056.302,506.836
2021-10-29T06:35:00,66.83,0.912,1732.331,965.797
2021-10-29T06:40:00,43.681,0.968,1387.193,539.408
