timestamp,rmssd,coverage,low_frequency,high_frequency
2021-06-16T00:00:00,111.561,1.001,874.824,2628.854
2021-06-16T00:05:00,112.82,1.002,1126.047,3910.646
2021-06-16T00:10:00,98.49,1.003,4533.825,2313.821
2021-06-16T00:15:00,123.765,1.006,3390.417,4092.395
2021-06-16T00:20:00,91.31,0.944,6765.619,1994.896
2021-06-16T00:25:00,105.776,0.983,1893.203,3063.023
2021-06-16T00:30:00,119.467,1.003,1505.891,3801.812
2021-06-16T00:35:00,117.704,1.005,4329.423,3373.284
2021-06-16T00:40:00,100.651,0.97,6225.083,2182.581
2021-06-16T00:45:00,83.405,0.923,6757.273,1271.75
2021-06-16T00:50:00,109.104,1.004,2742.077,2946.111
2021-06-16T00:55:00,99.816,1.003,2257.872,2491.891
2021-06-16T01:00:00,102.438,0.991,10633.615,1781.914
2021-06-16T01:05:00,94.38,0.954,5789.14,1679.847
2021-06-16T01:10:00,38.357,0.96,1267.168,190.153
2021-06-16T01:15:00,74.141,0.958,465.871,438.709
2021-06-16T01:20:00,83.225,0.983,1677.995,688.122
2021-06-16T01:25:00,67.636,0.945,1383.931,508.515
2021-06-16T01:30:00,44.455,0.99,1887.871,379.076
2021-06-16T01:35:00,92.769,0.941,4924.073,2361.544
2021-06-16T01:40:00,73.573,0.961,2004.433,1528.748
2021-06-16T01:45:00,98.489,1.006,2717.137,2165.336
2021-06-16T01:50:00,87.538,1.002,1035.196,1776.72
2021-06-16T01:55:00,80.87,1.004,530.888,1721.472
2021-06-16T02:00:00,86.703,1.004,1282.881,2165.437
2021-06-16T02:05:00,89.104,1.006,1911.013,1693.745
2021-06-16T02:10:00,86.313,0.995,1875.181,1645.266
2021-06-16T02:15:00,92.846,0.919,3558.248,1549.489
2021-06-16T02:20:00,77.469,0.995,2497.208,1269.269
2021-06-16T02:25:00,91.971,1.003,1275.569,2186.064
2021-06-16T02:30:00,81.279,0.982,3763.439,1114.027
2021-06-16T02:35:00,85.799,1.001,1698.853,2023.249
2021-06-16T02:40:00,82.053,1.003,1889.5,1744.097
2021-06-16T02:45:00,80.048,1.005,2046.306,1565.155
2021-06-16T02:50:00,84.785,1.005,3542.545,1552.623
2021-06-16T02:55:00,84.992,0.95,4086.073,1401.637
2021-06-16T03:00:00,100.027,0.946,2983.181,2375.296
2021-06-16T03:05:00,99.512,0.919,6109.765,1512.477
2021-06-16T03:10:00,69.248,0.941,1721.912,589.744
2021-06-16T03:15:00,99.802,0.93,3903.231,771.865
2021-06-16T03:20:00,90.187,0.907,3439.955,1728.722
2021-06-16T03:25:00,57.346,0.92,1174.944,987.05
2021-06-16T03:30:00,66.123,0.987,4490.188,675.117
2021-06-16T03:35:00,60.424,0.92,1526.525,775.383
2021-06-16T03:40:00,74.02,1.005,5606.377,1131.81
2021-06-16T03:45:00,69.188,0.945,3479.572,551.448
2021-06-16T03:50:00,92.712,0.968,1895.345,1805.786
2021-06-16T03:55:00,97.573,0.956,1553.261,2267.783
2021-06-16T04:00:00,88.257,1.003,1914.953,1823.434
2021-06-16T04:05:00,73.112,0.992,3212.341,1131.693
2021-06-16T04:10:00,96.415,1.002,1569.616,2297.954
2021-06-16T04:15:00,91.983,1.004,1898.283,2221.005
2021-06-16T04:20:00,84.826,1.003,1866.436,1756.342
2021-06-16T04:25:00,92.03,1.003,1448.722,2120.647
2021-06-16T04:30:00,80.828,1.006,1506.619,1402.299
2021-06-16T04:35:00,88.122,0.94,9853.902,1230.202
2021-06-16T04:40:00,82.113,1.006,2120.709,1748.739
2021-06-16T04:45:00,93.851,1.001,2919.244,2613.771
2021-06-16T04:50:00,80.077,0.927,4955.762,704.145
2021-06-16T04:55:00,50.731,0.891,5434.52,472.571
2021-06-16T05:00:00,52.707,1.003,1117.779,485.377
2021-06-16T05:25:00,93.851,0.927,6196.064,1704.432
2021-06-16T05:30:00,87.601,0.907,4366.349,2779.605
2021-06-16T05:35:00,98.375,0.997,3219.559,2000.996
2021-06-16T05:40:00,110.547,1.004,2095.751,2805.583
2021-06-16T05:45:00,104.062,0.947,1980.356,2799.774
2021-06-16T05:50:00,72.703,0.934,3735.284,906.306
2021-06-16T05:55:00,92.203,0.941,3266.493,1360.823
2021-06-16T06:10:00,53.807,0.743,2560.184,614.431
2021-06-16T22:00:00,62.889,0.943,1979.035,1586.893
2021-06-16T22:05:00,77.364,1.003,1912.268,2036.233
2021-06-16T22:10:00,76.095,0.875,2256.873,1624.728
2021-06-16T22:20:00,34.076,0.903,721.436,323.714
2021-06-16T22:25:00,29.717,0.795,1915.427,322.891
2021-06-16T22:30:00,46.315,0.869,1683.052,715.724
2021-06-16T22:35:00,35.591,0.957,3885.128,842.104
2021-06-16T22:40:00,41.429,0.905,1780.257,508.979
2021-06-16T22:50:00,51.81,0.795,1136.456,658.209
2021-06-16T23:00:00,60.961,0.935,1476.527,1506.321
2021-06-16T23:05:00,63.85,1.003,1548.615,1560.496
2021-06-16T23:10:00,59.026,1.005,1523.724,934.955
2021-06-16T23:15:00,60.31,1.003,637.237,1067.773
2021-06-16T23:20:00,69.517,0.934,3206.956,1327.979
2021-06-16T23:25:00,67.725,1.006,1446.41,1141.603
2021-06-16T23:30:00,73.224,1.003,1431.075,1518.327
2021-06-16T23:35:00,72.939,0.946,2798.869,1274.897
2021-06-16T23:40:00,68.059,1.004,2140.552,1200.393
2021-06-16T23:45:00,62.88,0.982,2206.279,954.889
2021-06-16T23:50:00,59.829,1.005,1633.004,1184.402
2021-06-16T23:55:00,22.819,1.003,1267.749,280.622
